,Loan_Id,Disbursed_Amount,Asset_Cost,ltv,Branch_Id,City_Code,State_Code_x,Postal_Code,Date_of_Birth,Employment_Type,DisbursalDate,MobileNo_Avl_Flag,Aadhar_flag,PAN_flag,VoterID_flag,Driving_flag,Passport_flag,PERFORM_CNS.SCORE,DELINQUENT.ACCTS.IN.LAST.SIX.MONTHS,CREDIT.HISTORY.LENGTH,NO.OF_INQUIRIES,Region_Code,State_Code_y,City_Name,Loan_Default,State_Code,State_Name
57,11663,59947,68170,89.48,2,CT01,ST15,400001,1/16/1994,Salaried,8/23/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,R3,ST15,Mumbai,1,ST15,Maharashtra
58,12405,69523,88800,79.84,2,CT01,ST15,400001,8/15/1984,Salaried,10/31/2018,1,1,0,0,0,0,707,0,1yrs 1mon,0,R3,ST15,Mumbai,0,ST15,Maharashtra
59,12594,70299,83737,85.0,2,CT01,ST15,400001,1/15/1978,Salaried,9/28/2018,1,1,0,0,0,0,15,0,0yrs 1mon,0,R3,ST15,Mumbai,1,ST15,Maharashtra
60,13427,58947,67000,90.0,2,CT01,ST15,400001,3/13/1994,Self employed,3/8/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,R3,ST15,Mumbai,0,ST15,Maharashtra
61,13753,60313,68000,89.85,2,CT01,ST15,400001,1/21/1992,Self employed,9/26/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,R3,ST15,Mumbai,0,ST15,Maharashtra
62,14101,78751,85247,93.84,2,CT01,ST15,400001,3/1/1969,Salaried,9/20/2018,1,1,0,0,0,0,738,0,0yrs 6mon,1,R3,ST15,Mumbai,0,ST15,Maharashtra
63,14582,75251,92000,83.7,2,CT01,ST15,400001,6/1/1977,Salaried,10/19/2018,1,1,0,0,0,0,763,0,1yrs 7mon,0,R3,ST15,Mumbai,0,ST15,Maharashtra
64,14701,73523,100400,74.6,2,CT01,ST15,400001,3/30/1991,Salaried,8/13/2018,1,1,0,0,0,0,498,1,5yrs 2mon,0,R3,ST15,Mumbai,0,ST15,Maharashtra
65,15169,70817,88994,80.9,2,CT01,ST15,400001,1/1/1982,Salaried,9/22/2018,1,1,0,0,0,0,0,0,0yrs 0mon,3,R3,ST15,Mumbai,0,ST15,Maharashtra
66,15927,62725,81410,79.11,2,CT01,ST15,400001,10/26/1987,Self employed,9/14/2018,1,1,0,0,0,0,0,0,0yrs 0mon,1,R3,ST15,Mumbai,0,ST15,Maharashtra
67,16858,66382,75500,89.4,2,CT01,ST15,400001,3/10/1988,Self employed,9/23/2018,1,1,1,0,0,0,660,0,1yrs 1mon,2,R3,ST15,Mumbai,1,ST15,Maharashtra
68,17022,65607,78500,85.0,2,CT01,ST15,400001,5/23/1993,Self employed,10/18/2018,1,1,0,0,0,0,585,1,16yrs 10mon,0,R3,ST15,Mumbai,0,ST15,Maharashtra
69,17443,49578,68089,74.9,2,CT01,ST15,400001,7/4/1988,Self employed,9/17/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,R3,ST15,Mumbai,0,ST15,Maharashtra
70,17957,61100,71530,87.38,2,CT01,ST15,400001,5/5/1970,Self employed,9/14/2018,1,1,0,0,0,0,18,0,4yrs 7mon,0,R3,ST15,Mumbai,0,ST15,Maharashtra
71,18040,74501,85298,89.98,2,CT01,ST15,400001,6/15/1988,Self employed,4/8/2018,1,1,0,0,0,0,737,0,1yrs 3mon,0,R3,ST15,Mumbai,0,ST15,Maharashtra
72,18166,57863,74000,79.53,2,CT01,ST15,400001,1/1/1975,Self employed,4/8/2018,1,1,0,0,0,0,0,0,0yrs 6mon,1,R3,ST15,Mumbai,0,ST15,Maharashtra
73,20417,58959,67000,89.55,2,CT01,ST15,400001,6/1/1974,Self employed,8/8/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,R3,ST15,Mumbai,0,ST15,Maharashtra
74,20810,64582,83391,79.15,2,CT01,ST15,400001,1/1/1996,Salaried,10/31/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,R3,ST15,Mumbai,0,ST15,Maharashtra
75,21000,55259,74800,74.87,2,CT01,ST15,400001,5/22/1969,Self employed,9/28/2018,1,1,0,0,0,0,643,0,3yrs 1mon,0,R3,ST15,Mumbai,0,ST15,Maharashtra
76,21467,54303,67000,82.09,2,CT01,ST15,400001,3/10/1979,Salaried,3/8/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,R3,ST15,Mumbai,0,ST15,Maharashtra
77,22601,76579,97217,79.72,2,CT01,ST15,400001,11/5/1996,Salaried,10/10/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,R3,ST15,Mumbai,1,ST15,Maharashtra
78,22851,64927,77700,85.0,2,CT01,ST15,400001,11/14/1986,Self employed,9/28/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,R3,ST15,Mumbai,0,ST15,Maharashtra
79,1285,42394,67722,64.97,74,CT01,ST15,400001,1/1/1996,Salaried,8/29/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,R2,ST15,Mumbai,0,ST15,Maharashtra
80,1750,41790,63386,71.47,74,CT01,ST15,400001,7/9/1978,Salaried,9/28/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,R2,ST15,Mumbai,0,ST15,Maharashtra
81,3915,40394,59814,70.22,74,CT01,ST15,400001,4/18/1972,Salaried,8/30/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,R2,ST15,Mumbai,0,ST15,Maharashtra
82,4316,44409,56116,83.76,74,CT01,ST15,400001,3/4/1986,Self employed,8/27/2018,1,1,0,0,0,0,635,1,1yrs 11mon,0,R2,ST15,Mumbai,1,ST15,Maharashtra
83,5986,50078,64145,80.29,74,CT01,ST15,400001,6/7/1980,Salaried,8/24/2018,1,1,1,0,0,0,738,0,0yrs 9mon,0,R2,ST15,Mumbai,0,ST15,Maharashtra
84,6901,56079,73031,80.79,74,CT01,ST15,400001,1/25/1978,Self employed,8/17/2018,1,1,0,0,0,0,657,1,8yrs 2mon,0,R2,ST15,Mumbai,0,ST15,Maharashtra
85,8532,51278,66566,79.62,74,CT01,ST15,400001,1/1/1992,Salaried,10/16/2018,1,1,0,0,0,0,0,0,0yrs 0mon,2,R2,ST15,Mumbai,1,ST15,Maharashtra
86,11738,61213,70898,88.86,74,CT01,ST15,400001,1/7/1965,Self employed,8/17/2018,1,1,0,0,0,0,719,0,1yrs 3mon,0,R2,ST15,Mumbai,1,ST15,Maharashtra
87,13041,68669,74015,93.9,74,CT01,ST15,400001,5/15/1978,Self employed,9/18/2018,1,1,0,0,0,0,575,0,5yrs 7mon,0,R2,ST15,Mumbai,0,ST15,Maharashtra
88,14779,28864,41428,74.83,74,CT01,ST15,400001,1/1/1994,Salaried,8/20/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,R2,ST15,Mumbai,0,ST15,Maharashtra
89,15887,51594,65315,84.97,74,CT01,ST15,400001,1/1/1978,Salaried,8/10/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,R2,ST15,Mumbai,0,ST15,Maharashtra
90,16256,53078,67722,81.21,74,CT01,ST15,400001,6/9/1991,Self employed,8/17/2018,1,1,1,0,0,0,763,0,0yrs 8mon,1,R2,ST15,Mumbai,0,ST15,Maharashtra
91,18436,37939,56116,69.5,74,CT01,ST15,400001,5/10/1987,Salaried,8/17/2018,1,1,0,0,0,0,15,0,0yrs 1mon,0,R2,ST15,Mumbai,0,ST15,Maharashtra
92,22963,50328,65039,79.95,74,CT01,ST15,400001,1/1/1969,Salaried,10/21/2018,1,0,0,1,0,0,0,0,0yrs 0mon,2,R2,ST15,Mumbai,0,ST15,Maharashtra
93,23239,53328,67655,81.29,74,CT01,ST15,400001,5/15/1959,Salaried,10/22/2018,1,1,0,0,0,0,16,0,1yrs 4mon,0,R2,ST15,Mumbai,1,ST15,Maharashtra
94,3510,74079,87165,86.62,162,CT01,ST15,400001,12/4/1995,Salaried,10/28/2018,1,1,0,0,0,0,0,0,0yrs 0mon,3,R1,ST15,Mumbai,1,ST15,Maharashtra
95,12345,55189,66382,88.88,162,CT01,ST15,400001,6/14/1982,Salaried,9/29/2018,1,1,0,0,0,0,825,0,0yrs 6mon,0,R1,ST15,Mumbai,1,ST15,Maharashtra
96,17162,64582,78087,84.78,162,CT01,ST15,400001,10/20/1995,Salaried,10/31/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,R1,ST15,Mumbai,1,ST15,Maharashtra
97,19851,51498,66825,79.94,162,CT01,ST15,400001,2/13/1995,Self employed,8/31/2018,1,1,0,0,0,0,17,0,0yrs 0mon,0,R1,ST15,Mumbai,0,ST15,Maharashtra
98,2934,34639,46135,78.47,251,CT01,ST15,400001,11/3/1964,Self employed,8/22/2018,1,0,0,1,0,0,0,0,0yrs 0mon,0,R1,ST15,Mumbai,0,ST15,Maharashtra
99,4710,33341,46135,75.0,251,CT01,ST15,400001,1/11/1988,Self employed,9/20/2018,1,0,0,1,0,0,0,0,0yrs 0mon,0,R1,ST15,Mumbai,1,ST15,Maharashtra
100,5731,57113,73842,80.04,251,CT01,ST15,400001,12/31/1983,Self employed,10/29/2018,1,0,0,1,0,0,0,0,0yrs 0mon,0,R1,ST15,Mumbai,0,ST15,Maharashtra
101,7815,71417,109774,67.05,251,CT01,ST15,400001,4/18/1988,Self employed,9/18/2018,1,0,0,0,1,0,0,0,0yrs 0mon,0,R1,ST15,Mumbai,0,ST15,Maharashtra
102,9598,49778,59731,85.72,251,CT01,ST15,400001,7/1/1988,Self employed,9/24/2018,1,0,1,1,0,0,825,0,1yrs 1mon,4,R1,ST15,Mumbai,0,ST15,Maharashtra
103,14236,58447,73793,81.99,251,CT01,ST15,400001,1/1/1991,Self employed,4/10/2018,1,0,0,1,0,0,0,0,0yrs 0mon,0,R1,ST15,Mumbai,1,ST15,Maharashtra
104,15835,52078,88738,59.73,251,CT01,ST15,400001,8/9/1983,Self employed,12/10/2018,1,0,0,0,1,0,0,0,0yrs 0mon,0,R1,ST15,Mumbai,0,ST15,Maharashtra
105,16263,17119,75051,23.32,251,CT01,ST15,400001,10/1/1977,Self employed,10/26/2018,1,0,0,1,0,0,0,0,0yrs 0mon,0,R1,ST15,Mumbai,0,ST15,Maharashtra
106,17468,61347,93401,66.81,251,CT01,ST15,400001,2/20/1996,Salaried,9/27/2018,1,0,0,1,0,0,0,0,0yrs 0mon,0,R1,ST15,Mumbai,0,ST15,Maharashtra
107,19554,70317,97713,74.2,251,CT01,ST15,400001,3/8/1987,Salaried,5/9/2018,1,0,1,1,0,0,0,0,0yrs 0mon,0,R1,ST15,Mumbai,1,ST15,Maharashtra
108,21580,59947,77746,79.75,251,CT01,ST15,400001,3/26/1991,Self employed,10/23/2018,1,0,1,1,0,0,0,0,0yrs 0mon,0,R1,ST15,Mumbai,0,ST15,Maharashtra
110,1816,52478,76723,71.69,255,CT01,ST15,400001,4/1/1988,Self employed,9/14/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,R1,ST15,Mumbai,0,ST15,Maharashtra
111,16975,56013,75392,76.93,255,CT01,ST15,400001,1/1/1984,Self employed,11/10/2018,1,0,0,1,0,0,0,0,0yrs 0mon,0,R1,ST15,Mumbai,0,ST15,Maharashtra
112,17195,68817,84030,84.49,255,CT01,ST15,400001,1/1/1976,Self employed,9/28/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,R1,ST15,Mumbai,0,ST15,Maharashtra
113,10,34639,69717,50.49,34,CT01,ST15,400001,11/23/1982,Self employed,10/26/2018,1,1,0,0,0,0,300,0,3yrs 10mon,0,R3,ST15,Mumbai,1,ST15,Maharashtra
114,727,49969,68897,74.99,34,CT01,ST15,400001,1/1/1984,Self employed,9/28/2018,1,1,0,0,0,0,300,2,1yrs 3mon,0,R3,ST15,Mumbai,0,ST15,Maharashtra
115,974,55313,63121,89.99,34,CT01,ST15,400001,7/15/1990,Self employed,8/29/2018,1,1,0,0,0,0,738,0,0yrs 5mon,2,R3,ST15,Mumbai,0,ST15,Maharashtra
116,1269,75751,112190,69.52,34,CT01,ST15,400001,11/29/1977,Salaried,10/31/2018,1,0,0,1,0,0,300,1,4yrs 3mon,0,R3,ST15,Mumbai,1,ST15,Maharashtra
117,2263,53903,113232,48.22,34,CT01,ST15,400001,5/17/1971,Self employed,10/19/2018,1,1,0,0,0,0,738,0,0yrs 9mon,0,R3,ST15,Mumbai,0,ST15,Maharashtra
118,3845,43849,62188,73.17,34,CT01,ST15,400001,1/25/1991,Salaried,8/16/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,R3,ST15,Mumbai,0,ST15,Maharashtra
119,3916,50203,65482,77.88,34,CT01,ST15,400001,1/20/1995,Self employed,8/31/2018,1,1,0,0,0,0,17,0,0yrs 3mon,0,R3,ST15,Mumbai,0,ST15,Maharashtra
120,5963,52303,67233,78.83,34,CT01,ST15,400001,12/25/1990,Salaried,10/22/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,R3,ST15,Mumbai,0,ST15,Maharashtra
121,6196,54013,62188,89.89,34,CT01,ST15,400001,6/25/1970,Self employed,6/8/2018,1,1,0,0,0,0,327,0,7yrs 1mon,0,R3,ST15,Mumbai,1,ST15,Maharashtra
122,6652,54013,62229,89.99,34,CT01,ST15,400001,11/20/1993,Salaried,1/8/2018,1,1,0,0,0,0,825,0,0yrs 6mon,0,R3,ST15,Mumbai,1,ST15,Maharashtra
123,7125,45349,61190,76.81,34,CT01,ST15,400001,11/1/1978,Self employed,1/8/2018,1,1,0,0,0,0,774,0,2yrs 5mon,0,R3,ST15,Mumbai,0,ST15,Maharashtra
124,7811,50903,63700,82.57,34,CT01,ST15,400001,12/14/1989,Salaried,8/16/2018,1,1,0,0,0,0,631,0,1yrs 7mon,0,R3,ST15,Mumbai,0,ST15,Maharashtra
125,8566,46349,60248,79.67,34,CT01,ST15,400001,7/1/1984,Self employed,6/8/2018,1,1,0,0,0,0,16,0,1yrs 6mon,0,R3,ST15,Mumbai,0,ST15,Maharashtra
126,8828,59947,78351,79.13,34,CT01,ST15,400001,6/20/1992,Salaried,9/30/2018,1,1,0,0,0,0,690,0,2yrs 6mon,0,R3,ST15,Mumbai,0,ST15,Maharashtra
127,8956,56459,74787,77.82,34,CT01,ST15,400001,1/1/1995,Salaried,8/31/2018,1,1,0,1,0,0,0,0,0yrs 0mon,0,R3,ST15,Mumbai,0,ST15,Maharashtra
128,12049,53559,68501,81.02,34,CT01,ST15,400001,6/5/1989,Salaried,8/10/2018,1,1,0,0,0,0,681,0,3yrs 10mon,0,R3,ST15,Mumbai,0,ST15,Maharashtra
129,12054,95800,154103,64.83,34,CT01,ST15,400001,10/16/1971,Self employed,9/24/2018,1,1,0,0,0,0,16,0,1yrs 11mon,0,R3,ST15,Mumbai,0,ST15,Maharashtra
130,12250,51903,62023,86.42,34,CT01,ST15,400001,9/5/1967,Self employed,8/23/2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,R3,ST15,Mumbai,0,ST15,Maharashtra
131,12597,50663,68630,74.84,34,CT01,ST15,400001,5/31/1987,Salaried,10/30/2018,1,1,0,0,0,0,345,0,10yrs 11mon,0,R3,ST15,Mumbai,0,ST15,Maharashtra
132,14183,53203,65679,82.07,34,CT01,ST15,400001,1/1/1986,Self employed,8/9/2018,1,1,0,0,0,0,618,1,4yrs 8mon,0,R3,ST15,Mumbai,1,ST15,Maharashtra
133,14617,57259,65718,89.78,34,CT01,ST15,400001,12/3/1970,Self employed,8/30/2018,1,0,0,1,0,0,679,0,2yrs 1mon,3,R3,ST15,Mumbai,0,ST15,Maharashtra
134,15213,54003,63249,86.48,34,CT01,ST15,400001,6/1/1975,Self employed,8/24/2018,1,1,0,0,0,0,728,0,3yrs 2mon,0,R3,ST15,Mumbai,0,ST15,Maharashtra
135,15701,55659,65368,87.2,34,CT01,ST15,400001,11/12/1969,Salaried,9/19/2018,1,1,0,0,0,0,743,0,0yrs 9mon,0,R3,ST15,Mumbai,0,ST15,Maharashtra
136,16067,61213,70016,89.98,34,CT01,ST15,400001,1/18/1971,Self employed,10/18/2018,1,1,0,0,0,0,699,0,2yrs 8mon,1,R3,ST15,Mumbai,0,ST15,Maharashtra
137,17123,56918,69300,85.0,34,CT01,ST15,400001,1/1/1983,Self employed,10/24/2018,1,1,0,0,0,0,670,0,7yrs 1mon,5,R3,ST15,Mumbai,1,ST15,Maharashtra
138,20176,43649,66259,68.37,34,CT01,ST15,400001,3/1/1988,Self employed,8/31/2018,1,1,0,0,0,0,0,0,0yrs 0mon,2,R3,ST15,Mumbai,0,ST15,Maharashtra
